 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
36	pulsar-136.fit	36.000000	0.000000	56941.432966	2456941.432966	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4748273.304301	3260.308522	1456.387723	10473.000000	4078.469486	2008.603180	24.327842	22.872089	25.783595	77.343707	0.982598
37	pulsar-137.fit	37.000000	0.000000	56941.432977	2456941.432977	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1665.882704	2428.052450	0.686098	2022.000000	1999.967742	1999.241551	35.515219	27.908634	43.121804	73.072724	0.756768
38	pulsar-138.fit	38.000000	0.000000	56941.433001	2456941.433001	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	685.512177	2422.655082	0.282959	2029.000000	1999.849608	1999.550779	39.362493	41.561059	37.163928	83.226832	-84.317457
39	pulsar-139.fit	39.000000	0.000000	56941.433012	2456941.433012	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1934.445995	2419.422554	0.799549	2027.000000	1999.990846	1999.147582	31.664119	28.896877	34.431360	68.493933	0.943723
40	pulsar-140.fit	40.000000	0.000000	56941.433024	2456941.433024	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1654.474073	2417.231998	0.684450	2026.000000	2000.210549	1999.489331	31.536339	27.588546	35.484132	61.958240	0.804837
41	pulsar-141.fit	41.000000	0.000000	56941.433035	2456941.433035	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1413.305388	2431.646825	0.581213	2026.000000	2000.062337	1999.446249	31.436499	23.323254	39.549744	65.792863	0.468411
42	pulsar-142.fit	42.000000	0.000000	56941.433047	2456941.433047	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1467.069486	2431.692392	0.603312	2025.000000	2000.142546	1999.503021	31.826798	28.771326	34.882270	77.176302	0.955460
43	pulsar-143.fit	43.000000	0.000000	56941.433058	2456941.433058	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4604581.539178	3236.475114	1422.714953	10218.000000	4015.711857	2008.483636	24.321951	22.874246	25.769655	77.434137	0.982831
44	pulsar-144.fit	44.000000	0.000000	56941.433082	2456941.433082	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2025.410714	2420.251586	0.836860	2025.000000	2000.013949	1999.131033	34.561616	30.551094	38.572138	294.763642	0.875534
45	pulsar-145.fit	45.000000	0.000000	56941.433093	2456941.433093	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1335.548061	2419.692573	0.551949	2026.000000	1999.755885	1999.173693	36.314191	31.011726	41.616655	84.474165	0.915121
